SEXO, SEDE, CODIGO DEL PROGRAMA, PROGRAMA, CODIGO DE LA FACULTAD FACULTAD, FACULTAD, CODIGO DEL PAIS, PAIS NACIMIENTO, COD_DEPTO_NACE, DEPARTAMENTO_NACE, COD_MUNI_NACE, NOMBRE_MUNI_NACE, COD_PAIS_VIVE, PAIS_VIVE, COD_DEPTO_VIVE, DEPARTAMENTO_VIVE, COD_MUNI_VIVE, NOMBRE_MUNI_VIVE, CREDITOS_ULTIM_SEMEST_MATRIC, SEMESTRE_INICIA_PROGRAMA, CRED_CURS_PROG , CRED_APROB_PROG, PROMEDIO_SEMESTRE, PROMEDIO_PROGRAMA

FEME, CARMENVI, 524, INGE BIOQUÍMICA-CARMEN, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 148, CARMEN DE VIBOR, 14, 20161, 77, 65, 3.27, 3.27

FEME, CARMENVI, 1478, LIC LENG EXTRANJ-CARMEN V, 13, ESCUELA DE IDIOMAS, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 16, 20172, 32, 32, 3.97, 4.09

FEME, CARMENVI, 108, CONTADURÍA - C. VIBORAL, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 667, SAN RAFAEL, 46, COLOMBIA, 5, ANTIOQUIA, 667, SAN RAFAEL, 7, 20141, 165, 156, 4.35, 3.67

FEME, CARMENVI, 311, PSICOLOG-CARMEN DE VIBORA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 88, BELLO, 46, COLOMBIA, 5, ANTIOQUIA, 667, SAN RAFAEL, 8, 20141, 184, 184, 4.36, 4.44

FEME, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 9, 20132, 137, 137, 4.46, 4.02

MASC, ANDES, 314, PSICOLOGÍA - ANDES, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 364, JARDIN, 46, COLOMBIA, 5, ANTIOQUIA, 364, JARDIN, 12, 20142, 178, 178, 4.75, 4.42

FEME, ANDES, 330, TRABAJO SOCIAL - ANDES, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 129, CALDAS, 46, COLOMBIA, 5, ANTIOQUIA, 364, JARDIN, 18, 20171, 50, 50, 4.48, 4.33

FEME, ANDES, 822, T ATENC PREHOSPIT-ANDES, 30, FACULTAD DE MEDICINA, 46, COLOMBIA, 5, ANTIOQUIA, 364, JARDIN, 46, COLOMBIA, 5, ANTIOQUIA, 364, JARDIN, 22, 20181, 22, 22, 3.86, 3.86

FEME, APARTADO, 338, COMU SOCIAL PER - APARTAD, 12, FAC DE COMUNICACIONES, 46, COLOMBIA, 5, ANTIOQUIA, 659, SAN JUAN DE URA, 46, COLOMBIA, 5, ANTIOQUIA, 659, SAN JUAN DE URA, 20, 20181, 22, 19, 3.39, 3.39

MASC, CARMENVI, 1478, LIC LENG EXTRANJ-CARMEN V, 13, ESCUELA DE IDIOMAS, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 9, 20151, 112, 109, 4.23, 4.01

FEME, CAUCASIA, 101, ADM DE EMPRESAS- CAUCASIA, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 15, 20151, 117, 117, 4.42, 3.94

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 670, SAN ROQUE, 46, COLOMBIA, 5, ANTIOQUIA, 697, SANTUARIO, 19, 20152, 82, 78, 3.5, 4.01

FEME, CAUCASIA, 1688, LIC PED INFANTIL-CAUCASIA, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 19, 20142, 143, 143, 4.28, 4.23

MASC, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 10, 20152, 66, 50, 3.51, 3.49

FEME, CARMENVI, 705, MEDIC VETERINAR-CARMEN V., 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 12, 20142, 148, 148, 3.57, 3.99

FEME, CAUCASIA, 315, PSICOLOGÍA - CAUCASIA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 6, 20141, 190, 190, 4.18, 3.97

MASC, CAUCASIA, 319, TRABAJO SOCIAL - CAUCASIA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 16, 20172, 34, 34, 4.22, 4.27

FEME, CAUCASIA, 319, TRABAJO SOCIAL - CAUCASIA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 8, ATLANTICO, 1, BARRANQUILLA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 16, 20172, 34, 34, 4.12, 3.82

MASC, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 15, 20181, 8, 5, 3.13, 3.13

FEME, CAUCASIA, 315, PSICOLOGÍA - CAUCASIA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 6, 20141, 190, 190, 4.47, 4.1

MASC, CAUCASIA, 101, ADM DE EMPRESAS- CAUCASIA, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 9, 20141, 135, 126, 4.32, 3.51

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 22, 20151, 121, 117, 4.44, 4.01

FEME, CAUCASIA, 101, ADM DE EMPRESAS- CAUCASIA, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 12, 20141, 123, 111, 4.35, 3.56

FEME, CAUCASIA, 1688, LIC PED INFANTIL-CAUCASIA, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 120, CACERES, 19, 20142, 146, 143, 4.48, 4.28

FEME, CAUCASIA, 101, ADM DE EMPRESAS- CAUCASIA, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 15, 20151, 111, 108, 4.48, 3.95

MASC, MEDELLIN, 537, ING AMBIENTAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 11, 20152, 73, 41, 2.53, 2.96

FEME, CAUCASIA, 101, ADM DE EMPRESAS- CAUCASIA, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 12, 20151, 72, 58, 3.88, 3.33

FEME, CAUCASIA, 121, CONTADURÍA - CAUCASIA, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 20, 20162, 68, 65, 4.08, 3.79

FEME, CAUCASIA, 315, PSICOLOGÍA - CAUCASIA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 24, 20162, 94, 94, 4.2, 3.95

MASC, CAUCASIA, 121, CONTADURÍA - CAUCASIA, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 18, 20171, 49, 49, 3.44, 3.45

FEME, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 310, GOMEZ PLATA, 46, COLOMBIA, 5, ANTIOQUIA, 310, GOMEZ PLATA, 13, 20181, 9, 6, 3.34, 3.34

MASC, CARMENVI, 448, ARTES PLÁSTICAS-C VIBORAL, 2, FACULTAD DE ARTES, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 10, 20112, 145, 145, 3.88, 4.38

FEME, CARMENVI, 1413, LIC. ED ARTES PLÁST-C VIB, 2, FACULTAD DE ARTES, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 10, 20142, 172, 172, 4.31, 4.13

MASC, CARMENVI, 901, NUTRIC Y DIETÉTICA -CARM, 80, ESC NUTRICIÓN Y DIETÉTICA, 46, COLOMBIA, 5, ANTIOQUIA, 197, COCORNA, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 16, 20141, 153, 153, 4.64, 4.04

FEME, CARMENVI, 715, ING. AGROPECUARIA-C VIBOR, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 18, 20161, 90, 90, 4.35, 4.04

FEME, CARMENVI, 117, DLLO TERRITORIAL-CARMEN, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 13, 20152, 81, 71, 3.15, 3.46

FEME, CARMENVI, 913, ENFERMERÍA-CARMEN DE VIBO, 60, FACULTAD DE ENFERMERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 18, 20152, 108, 108, 4.29, 4.35

FEME, CAUCASIA, 1688, LIC PED INFANTIL-CAUCASIA, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 495, NECHI, 46, COLOMBIA, 5, ANTIOQUIA, 154, CAUCASIA, 19, 20142, 148, 140, 4.18, 4.06

FEME, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 604, REMEDIOS, 46, COLOMBIA, 5, ANTIOQUIA, 604, REMEDIOS, 12, 20152, 86, 86, 4.14, 4.03

MASC, MEDELLIN, 536, ING TELECOMUNICACIONES, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 604, REMEDIOS, 46, COLOMBIA, 5, ANTIOQUIA, 604, REMEDIOS, 13, 20152, 73, 48, 2.54, 3.24

MASC, ANDES, 114, CONTADURÍA - ANDES, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 209, CONCORDIA, 46, COLOMBIA, 5, ANTIOQUIA, 209, CONCORDIA, 17, 20181, 17, 12, 3.44, 3.44

MASC, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 16, 20161, 64, 61, 3.87, 3.85

MASC, CAREPA, 356, DERECHO - CAREPA, 10, FACULTAD DE DERECHO, 46, COLOMBIA, 86, PUTUMAYO, 568, PUERTO ASIS, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 20, 20162, 88, 78, 3.21, 3.51

MASC, CAREPA, 523, INGE BIOQUÍMICA-URABÁ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 8, 20181, 16, 13, 2.78, 2.78

FEME, APARTADO, 120, CONTADURÍA - APARTADÓ, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 31, AMALFI, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 22, 20152, 101, 101, 4.03, 3.85

FEME, TURBO, 963, NUTRIC Y DIETÉTICA -TURBO, 80, ESC NUTRICIÓN Y DIETÉTICA, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 16, 20132, 159, 153, 4.6, 3.96

FEME, TURBO, 105, ADMINIST DE EMPRESA-TURBO, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 9, 20122, 165, 153, 3.88, 3.56

FEME, APARTADO, 790, MICRO INDUS-AMB- APARTADÓ, 45, ESCUELA DE MICROBIOLOGÍA, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 21, 20152, 82, 82, 4.12, 3.96

FEME, TURBO, 312, PSICOLOGÍA - TURBO, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 6, 20141, 190, 190, 4.16, 3.98

FEME, TURBO, 928, TEC SIST INF SALUD-TURBO, 70, FAC DE SALUD PÚBLICA, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 10, 20142, 90, 81, 2.82, 3.51

MASC, CAREPA, 526, INGE AGROINDUSTRIAL-URABÁ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 12, 20172, 23, 20, 3.88, 3.63

FEME, CAREPA, 356, DERECHO - CAREPA, 10, FACULTAD DE DERECHO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 20, 20162, 83, 82, 4.12, 3.97

MASC, APARTADO, 339, PSICOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 172, CHIGORODO, 22, 20171, 68, 64, 3.74, 3.56

MASC, MEDELLIN, 537, ING AMBIENTAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 353, HISPANIA, 8, 20161, 58, 54, 2.85, 3.79

MASC, CARMENVI, 705, MEDIC VETERINAR-CARMEN V., 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 10, 20152, 125, 121, 3.18, 3.46

FEME, CARMENVI, 524, INGE BIOQUÍMICA-CARMEN, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 16, 20172, 34, 34, 3.8, 3.73

MASC, CARMENVI, 1412, LIC ED BÁSIC MUSICA-C VIB, 2, FACULTAD DE ARTES, 46, COLOMBIA, 5, ANTIOQUIA, 756, SONSON, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 24, 20142, 172, 172, 4.54, 4.41

MASC, CARMENVI, 528, INGE AGROINDUSTRIAL-CARME, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 18, 20151, 128, 128, 4.03, 4.08

FEME, CARMENVI, 705, MEDIC VETERINAR-CARMEN V., 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 17, 20151, 147, 149, 4.01, 3.9

FEME, CARMENVI, 715, ING. AGROPECUARIA-C VIBOR, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 16, 20122, 192, 169, 4.05, 3.57

FEME, MEDELLIN, 537, ING AMBIENTAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 148, CARMEN DE VIBOR, 23, 20152, 95, 91, 4.45, 3.81

FEME, CARMENVI, 901, NUTRIC Y DIETÉTICA -CARM, 80, ESC NUTRICIÓN Y DIETÉTICA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 16, 20141, 143, 137, 3.2, 3.94

MASC, CARMENVI, 117, DLLO TERRITORIAL-CARMEN, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 17, 20152, 83, 83, 3.92, 3.93

MASC, CARMENVI, 108, CONTADURÍA - C. VIBORAL, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 22, 20132, 146, 104, 3.43, 3.16

MASC, CARMENVI, 901, NUTRIC Y DIETÉTICA -CARM, 80, ESC NUTRICIÓN Y DIETÉTICA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 12, 20171, 45, 43, 4.02, 3.85

FEME, CARMENVI, 1413, LIC. ED ARTES PLÁST-C VIB, 2, FACULTAD DE ARTES, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 18, 20142, 168, 168, 4.75, 4.48

FEME, CARMENVI, 1634, LIC ED HUMAN L CAST-C VIB, 20, FACULTAD DE EDUCACIÓN, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 9, 20141, 168, 168, 4.17, 4.33

FEME, CARMENVI, 206, BIOLOGÍA - CARMEN DE VIB., 3, FAC CCIAS EXACTAS Y NAT, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 18, 20162, 70, 70, 3.63, 3.8

MASC, CARMENVI, 913, ENFERMERÍA-CARMEN DE VIBO, 60, FACULTAD DE ENFERMERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 18, 20152, 108, 108, 4.37, 4.36

MASC, CARMENVI, 117, DLLO TERRITORIAL-CARMEN, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 76, VALLE, 1, CALI, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 9, 20162, 43, 41, 4.24, 3.55

FEME, CARMENVI, 901, NUTRIC Y DIETÉTICA -CARM, 80, ESC NUTRICIÓN Y DIETÉTICA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 16, 20141, 153, 153, 4.85, 4.23

MASC, CARMENVI, 311, PSICOLOG-CARMEN DE VIBORA, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 28, 20162, 86, 86, 4.36, 4.1

MASC, CARMENVI, 117, DLLO TERRITORIAL-CARMEN, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 15, 20171, 45, 45, 4.17, 3.69

FEME, CARMENVI, 528, INGE AGROINDUSTRIAL-CARME, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 12, 20172, 20, 17, 3.51, 3.42

FEME, CARMENVI, 541, ING. URBANA-CARMENVIBORAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 16, 20162, 55, 49, 3.62, 3.72

MASC, CARMENVI, 705, MEDIC VETERINAR-CARMEN V., 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 11, BOGOTA D.E., 1, SANTAFE DE BOGO, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 16, 20171, 65, 65, 3.88, 3.86

FEME, CARMENVI, 529, TEC BIOMÉDICA- CARMEN, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 88, BELLO, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 18, 20162, 65, 61, 4.2, 4.04

FEME, CARMENVI, 106, ADMINIST EMPRESA- CARMEN, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 23, 20161, 67, 54, 3.26, 3.37

FEME, CARMENVI, 117, DLLO TERRITORIAL-CARMEN, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 16, 20152, 90, 86, 4.13, 3.81

MASC, CARMENVI, 528, INGE AGROINDUSTRIAL-CARME, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 360, ITAGUI, 46, COLOMBIA, 5, ANTIOQUIA, 607, RETIRO, 19, 20161, 75, 75, 4.03, 3.73

MASC, TURBO, 312, PSICOLOGÍA - TURBO, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 12, 20141, 184, 184, 3.86, 3.85

MASC, CAREPA, 526, INGE AGROINDUSTRIAL-URABÁ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 21, 20151, 129, 119, 3.36, 3.46

FEME, APARTADO, 120, CONTADURÍA - APARTADÓ, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 18, 20162, 60, 56, 3.5, 3.68

FEME, APARTADO, 339, PSICOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 20, 20172, 48, 48, 4.22, 4.05

FEME, APARTADO, 335, TRABAJO SOCIAL-APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 16, 20172, 34, 34, 3.9, 3.96

MASC, CAREPA, 526, INGE AGROINDUSTRIAL-URABÁ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 13, 20161, 67, 63, 3.4, 3.62

FEME, CAREPA, 523, INGE BIOQUÍMICA-URABÁ, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 27, CHOCO, 1, QUIBDO, 46, COLOMBIA, 5, ANTIOQUIA, 147, CAREPA, 11, 20161, 72, 56, 3.19, 3.2

MASC, CARMENVI, 982, TEC SANEAM AMBIENT-CARMEN, 70, FAC DE SALUD PÚBLICA, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 46, COLOMBIA, 5, ANTIOQUIA, 440, MARINILLA, 11, 20151, 103, 98, 3.95, 3.5

MASC, CARMENVI, 1412, LIC ED BÁSIC MUSICA-C VIB, 2, FACULTAD DE ARTES, 46, COLOMBIA, 5, ANTIOQUIA, 541, EL PEÑOL, 46, COLOMBIA, 5, ANTIOQUIA, 541, EL PEÑOL, 18, 20132, 194, 180, 3.96, 3.93

MASC, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 541, EL PEÑOL, 22, 20171, 65, 65, 4.63, 4.42

MASC, CARMENVI, 901, NUTRIC Y DIETÉTICA -CARM, 80, ESC NUTRICIÓN Y DIETÉTICA, 46, COLOMBIA, 5, ANTIOQUIA, 376, LA CEJA, 46, COLOMBIA, 5, ANTIOQUIA, 541, EL PEÑOL, 16, 20141, 153, 153, 4.73, 3.84

FEME, MEDELLIN, 506, ING DE SISTEMAS, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 615, RIONEGRO, 46, COLOMBIA, 5, ANTIOQUIA, 541, EL PEÑOL, 21, 20171, 48, 44, 4.08, 3.72

FEME, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 674, SAN VICENTE, 13, 20181, 8, 8, 3.18, 3.18

